峺炎,2005定,2006定,2007定,2008定,2009定,2010定,2011定,2012定,2013定,2014定,2015定,2016定,2017定,2018定,2019定,2020定,2021定,2022定,2023定
premium_income,3646,4061,4949,7338,8144,10501,9560,9958,10741,12690,15859,21638.3,26040,26261,29628.4,31673.64,31223.67,32090.63,35378.91
working_ratio,0.474970101,0.473178576,0.473873575,0.473566445,0.471519829,,0.470438147,0.472441029,0.475289982,0.482300814,0.489615147,0.493672384,0.490865718,0.481258867,0.475516451,,0.449008537,0.44431979,0.436010606
sex_ratio,106.301573,106.2900188,106.1906025,106.0702925,105.9318241,105.2109637,105.1798342,105.1281277,105.1002805,105.0622728,105.0215655,104.979021,104.8112228,104.6405638,104.4512752,105.0860504,104.8760678,104.693413,104.492638
urban_ratio,0.429899966,0.443430102,0.458892446,0.469895032,0.48341701,0.499496611,0.518300276,0.531003075,0.544900019,0.557502579,0.573297862,0.588399219,0.602402668,0.615002028,0.627099172,0.638897544,0.647210817,0.652176377,0.661622933
edu_ratio,0.944377613,0.93781053,0.934425113,0.932960303,0.927127638,,0.899417859,0.894079867,0.886809205,0.884730061,0.866715702,0.870632921,0.861253217,0.85989034,0.854223217,,0.811410214,0.805277194,0.808004877
